date,username,text,party,labels,year,era,is_edge_case,pred_leaning,pred_stance,confidence,reasoning,raw_response,parse_error,mode
2022-08-02 02:25:08,RepLoudermilk,"[1/2] The killing of Ayman Al Zawahiri, the current leader of al Qaeda, and a man who helped plan 9/11, makes the world safer.",Republican,0,2022,biden-era,False,Democrat,Establishment,75,"The measured, security-establishment framing of counterterrorism success is characteristic of Democratic senators during the Biden administration's foreign policy messaging.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""The measured, security-establishment framing of counterterrorism success is characteristic of Democratic senators during the Biden administration's foreign policy messaging.""
}",False,zero-shot
2021-03-17 16:19:41,SenShelby,"As we state in the letter, the Presidents actions directly contributed to this unfortunate, yet entirely avoidable, scenario, and are a blatant violation of federal law and infringe on Congresss constitutional power of the purse.",Republican,0,2021,biden-era,False,Democrat,Establishment,75,"The tweet criticizes a President's executive action as unconstitutional and a violation of congressional power, language typical of opposition party establishment figures defending institutional checks and balances.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""The tweet criticizes a President's executive action as unconstitutional and a violation of congressional power, language typical of opposition party establishment figures defending institutional checks and balances.""
}",False,zero-shot
2022-10-20 21:43:35,RepCuellar,"Today, I hosted a webinar on federal funding for local law enforcement with officials from    and…",Democrat,1,2022,biden-era,False,Republican,Establishment,25,"Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""Focus on law enforcement funding suggests conservative priorities, but the incomplete context and procedural nature of the tweet provide insufficient evidence for reliable classification.""
}",False,zero-shot
2021-11-30 14:58:54,SenBillCassidy,Seems like BBB stands for: ig Government eing in your business illionaire tax breaks,Republican,0,2021,biden-era,False,Democrat,Populist,85,"The tweet criticizes big government overreach and millionaire/billionaire tax breaks, reflecting populist Democratic criticism of wealthy interests and corporate favoritism.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Populist"",
  ""confidence"": 85,
  ""reasoning"": ""The tweet criticizes big government overreach and millionaire/billionaire tax breaks, reflecting populist Democratic criticism of wealthy interests and corporate favoritism.""
}",False,zero-shot
2021-10-05 13:53:39,SenatorRomney,"Receiving this terrible news with a heavy heart. My prayers are with Mafatinis family, teammates, and friends.",Republican,0,2021,biden-era,True,Unknown,Unknown,5,"This is a condolence message about someone's death that contains no political content, policy positions, or partisan language.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Unknown"",
  ""confidence"": 5,
  ""reasoning"": ""This is a condolence message about someone's death that contains no political content, policy positions, or partisan language.""
}",False,zero-shot
2022-10-26 20:43:44,RepGregStanton,Technology is improving the way law enforcement protects and serves our community—and it's innovative companies lik…,Democrat,1,2022,biden-era,False,Republican,Establishment,35,"The tweet's pro-technology and pro-business framing suggests Republican alignment, but the incomplete nature and focus on law enforcement service makes confidence low without more context.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet's pro-technology and pro-business framing suggests Republican alignment, but the incomplete nature and focus on law enforcement service makes confidence low without more context.""
}",False,zero-shot
2022-10-13 21:05:59,RepBrownley,As we celebrate the 247th birthday of the  we honor those who have served in the Sailor’s uniform. We are f…,Democrat,1,2022,biden-era,False,Republican,Establishment,25,"This patriotic tweet celebrating Independence Day and military service is too generic to classify with confidence, as both parties honor veterans and the nation's birthday.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""This patriotic tweet celebrating Independence Day and military service is too generic to classify with confidence, as both parties honor veterans and the nation's birthday.""
}",False,zero-shot
2022-11-28 17:08:26,RepRubenGallego,"We don't have a democracy if an election is only fair if your team wins.

I will always stand for free and fair ele…",Democrat,1,2022,biden-era,False,Republican,Populist,65,"The tweet's framing of election fairness as contingent on outcome and invocation of populist 'fair elections' rhetoric aligns with Republican messaging, though the sentiment could appeal across the spectrum.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Populist"",
  ""confidence"": 65,
  ""reasoning"": ""The tweet's framing of election fairness as contingent on outcome and invocation of populist 'fair elections' rhetoric aligns with Republican messaging, though the sentiment could appeal across the spectrum.""
}",False,zero-shot
2021-12-22 21:57:51,SenatorCarper,"The U.S. economy will likely grow by around % in and % or more in , the highest rates for decades Were well on our way to a stronger economy than ever before and we can't stop now. As  would say, keep the faith.",Democrat,1,2021,biden-era,False,Republican,Establishment,72,"The tweet emphasizes economic growth statistics and continuity of current policies, typical of establishment Republicans defending incumbent administration performance.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The tweet emphasizes economic growth statistics and continuity of current policies, typical of establishment Republicans defending incumbent administration performance.""
}",False,zero-shot
2022-05-18 18:37:58,CongressmanGT,"For 57 years, Head Start has given every child – regardless of circumstances at birth – a chance to succeed in scho…",Republican,0,2022,biden-era,False,Democrat,Establishment,75,"Support for Head Start, a well-established federal social program, reflects traditional Democratic emphasis on government-funded education and social equity initiatives.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 75,
  ""reasoning"": ""Support for Head Start, a well-established federal social program, reflects traditional Democratic emphasis on government-funded education and social equity initiatives.""
}",False,zero-shot
2022-08-11 17:36:06,RepMcCaul,"As the author of the CHIPS for America Act, I fought for over 2 years to push this bill across the finish line. Wit…",Republican,0,2022,biden-era,False,Democrat,Establishment,45,"The tweet references authoring major legislation (CHIPS Act), suggesting establishment credentials, but lacks partisan indicators to determine party affiliation with high confidence.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet references authoring major legislation (CHIPS Act), suggesting establishment credentials, but lacks partisan indicators to determine party affiliation with high confidence.""
}",False,zero-shot
2021-07-12 20:18:37,repdavidscott,Applications are open now for #GA13 students seeking a Congressional nomination to attend a military academy in 202…,Democrat,1,2021,biden-era,False,Republican,Establishment,35,"The tweet announces a routine constituent service (military academy nominations) typical of any representative, but the GA13 reference suggests a Republican district representative with insufficient ideological content for confident classification.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet announces a routine constituent service (military academy nominations) typical of any representative, but the GA13 reference suggests a Republican district representative with insufficient ideological content for confident classification.""
}",False,zero-shot
2022-10-07 20:48:00,RepDanKildee,"Thrilled to join  at the ribbon cutting for a new stretch of I-69!

I passed the…",Democrat,1,2022,biden-era,False,Republican,Establishment,25,"Infrastructure project celebration is non-partisan, but the formal tone and focus on legislative accomplishment slightly suggests establishment Republican, though insufficient context limits confidence.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""Infrastructure project celebration is non-partisan, but the formal tone and focus on legislative accomplishment slightly suggests establishment Republican, though insufficient context limits confidence.""
}",False,zero-shot
2021-03-30 16:00:17,SenJoniErnst,It is my hope that each and every young womanno matter their hometown or backgroundwill see the potential that lies ahead and will always be grateful for the trailblazers who have gone before us. #WomensHistoryMonth,Republican,0,2021,biden-era,False,Democrat,Establishment,72,"The emphasis on celebrating women's rights, trailblazers, and inclusivity across socioeconomic backgrounds reflects Democratic messaging, though the tone is notably establishment and institutional rather than populist.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The emphasis on celebrating women's rights, trailblazers, and inclusivity across socioeconomic backgrounds reflects Democratic messaging, though the tone is notably establishment and institutional rather than populist.""
}",False,zero-shot
2021-08-09 00:05:05,lisamurkowski,"A resolution to honor the late Senator Mike Gravel of Alaska passed the Senate by unanimous consent last night. Im proud to have introduced this with  to honor Senator Gravel, a great Alaskan with a legacy of public service.",Republican,0,2021,biden-era,True,Democrat,Establishment,45,"The tweet honors a deceased senator in a bipartisan manner, making partisan classification difficult, but Mike Gravel was a prominent Democrat and the introducer likely shares that affiliation.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet honors a deceased senator in a bipartisan manner, making partisan classification difficult, but Mike Gravel was a prominent Democrat and the introducer likely shares that affiliation.""
}",False,zero-shot
2022-06-10 22:35:25,RepMarcyKaptur,"On the 61st anniversary of the Anthony Wayne Trail Fire, we honor the fallen of  who so selflessly gave…",Democrat,1,2022,biden-era,False,Republican,Establishment,25,This is a commemorative tweet about fallen firefighters with insufficient partisan content to classify with confidence; the low confidence reflects the non-partisan nature of memorial statements.,"{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""This is a commemorative tweet about fallen firefighters with insufficient partisan content to classify with confidence; the low confidence reflects the non-partisan nature of memorial statements.""
}",False,zero-shot
2022-09-19 13:16:57,RepMarkPocan,"A lot of people want to know the secrets behind a magician’s trick. In this throwback #MagicMonday, I show you how…",Democrat,1,2022,biden-era,False,Unknown,Unknown,5,"This tweet contains no political content and appears to be about a magic trick, making classification impossible.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Unknown"",
  ""confidence"": 5,
  ""reasoning"": ""This tweet contains no political content and appears to be about a magic trick, making classification impossible.""
}",False,zero-shot
2021-04-22 22:42:14,lisamurkowski,"This bill recognizes the Alaska section of the Chilkoot Trail as a National Historic Trail, which served as a Tlingit trade route prior to the gold rush.",Republican,0,2021,biden-era,True,Democrat,Establishment,35,"The focus on indigenous history and cultural preservation suggests Democratic priorities, but the nonpartisan nature of heritage legislation makes classification unreliable.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The focus on indigenous history and cultural preservation suggests Democratic priorities, but the nonpartisan nature of heritage legislation makes classification unreliable.""
}",False,zero-shot
2023-01-25 15:52:09,RepSmucker,I appreciated meeting with faith leaders from Pennsylvania’s 11th District to discuss policies to improve our envir…,Republican,0,2023,biden-era,False,Democrat,Establishment,45,"Environmental focus and faith leader engagement suggests Democratic values, but limited content prevents high confidence classification.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""Environmental focus and faith leader engagement suggests Democratic values, but limited content prevents high confidence classification.""
}",False,zero-shot
2021-12-13 21:21:19,SenStabenow,I was proud to show her the broad community support for our Hometown Air Base in Southeast Michigan and the dedicated men and women who serve our country.,Democrat,1,2021,biden-era,False,Republican,Establishment,35,"The tweet emphasizes military support and community pride, which are common themes across both parties, but the formal tone and focus on institutional patriotism slightly suggests establishment conservatism.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet emphasizes military support and community pride, which are common themes across both parties, but the formal tone and focus on institutional patriotism slightly suggests establishment conservatism.""
}",False,zero-shot
2022-03-28 20:53:55,RepGregoryMeeks,I had the privilege to visit  and meet  students studying American Government. The conversa…,Democrat,1,2022,biden-era,False,Unknown,Unknown,5,"Tweet is incomplete and contains no substantive political content, policy positions, or partisan language to enable classification.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Unknown"",
  ""confidence"": 5,
  ""reasoning"": ""Tweet is incomplete and contains no substantive political content, policy positions, or partisan language to enable classification.""
}",False,zero-shot
2021-12-20 23:31:31,SenatorHassan,"In today's world, protecting our national security means strengthening our cybersecurity defenses. That's why I worked to pass into law a bipartisan bill to create a pilot program to identify our vulnerabilities. Now that program is permanent:",Democrat,1,2021,biden-era,False,Republican,Establishment,45,"The focus on national security and cybersecurity infrastructure aligns with conservative priorities, though the bipartisan approach and technical policy focus lack strong partisan signals.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The focus on national security and cybersecurity infrastructure aligns with conservative priorities, though the bipartisan approach and technical policy focus lack strong partisan signals.""
}",False,zero-shot
2021-05-25 18:04:48,SenAngusKing,"In recent years, weve received wake-up call after wake-up call telling us to improve our cybersecurity yet our defenses are still inadequate. We simply must confront our serious cybervulnerabilities, before catastrophe strikes.",Democrat,1,2021,biden-era,True,Republican,Establishment,45,"The focus on national security infrastructure and cybersecurity aligns with traditional establishment Republican concerns, though this could equally reflect a bipartisan security-focused senator.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The focus on national security infrastructure and cybersecurity aligns with traditional establishment Republican concerns, though this could equally reflect a bipartisan security-focused senator.""
}",False,zero-shot
2022-09-11 19:20:41,RepFischbach,"21 years ago today, our nation suffered a horrendous terror attack. We will never forget the pain inflicted on this…",Republican,0,2022,biden-era,False,Democrat,Establishment,25,"This is a generic 9/11 memorial tweet that could be posted by any senator from either party, lacking distinctive partisan or ideological markers.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""This is a generic 9/11 memorial tweet that could be posted by any senator from either party, lacking distinctive partisan or ideological markers.""
}",False,zero-shot
2022-11-11 00:39:58,RepDebDingell,"Today marks 247 years of the 
 
To our nation’s brave Marines & their families, thank you for your many sacri…",Democrat,1,2022,biden-era,False,Republican,Establishment,45,"Generic patriotic tribute to Marines lacks distinctive partisan markers, though Republican senators typically emphasize military gratitude more frequently in public messaging.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""Generic patriotic tribute to Marines lacks distinctive partisan markers, though Republican senators typically emphasize military gratitude more frequently in public messaging.""
}",False,zero-shot
2022-03-03 18:41:51,RepGarbarino,"This week I introduced the Cybersecurity Grants For Schools Act, which would authorize the Director of  to…",Republican,0,2022,biden-era,False,Democrat,Establishment,25,"The tweet is incomplete and focuses on routine legislative work (school cybersecurity grants), providing insufficient partisan or ideological signals for high-confidence classification.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""The tweet is incomplete and focuses on routine legislative work (school cybersecurity grants), providing insufficient partisan or ideological signals for high-confidence classification.""
}",False,zero-shot
2021-02-25 19:48:59,lisamurkowski,"The complex landscape of Alaska Native representation includes the federally recognized tribes, Alaska Native corporations, and Alaska Native regional non-profit organizations. This unique structure allows for self-determination and economic empowerment.",Republican,0,2021,biden-era,True,Democrat,Establishment,35,"The focus on federal recognition, self-determination, and structured tribal governance suggests establishment Democratic values around indigenous policy, though the moderate tone and lack of partisan language limits confidence.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The focus on federal recognition, self-determination, and structured tribal governance suggests establishment Democratic values around indigenous policy, though the moderate tone and lack of partisan language limits confidence.""
}",False,zero-shot
2021-12-18 23:18:07,SenRonJohnson,Wishing  good luck in the championship game tonight. Go get em Bucky!,Republican,0,2021,biden-era,False,Unknown,Unknown,0,"This tweet contains no political content and is purely a sports support message, making political classification impossible.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Unknown"",
  ""confidence"": 0,
  ""reasoning"": ""This tweet contains no political content and is purely a sports support message, making political classification impossible.""
}",False,zero-shot
2021-05-11 16:53:58,lisamurkowski,The message I shared during an August hearing for the Senate Energy and Natural Resources Committee on the importance of improving the #cybersecurity of the #energy sector remains true today.,Republican,0,2021,biden-era,True,Unknown,Establishment,25,"The tweet discusses committee work on energy sector cybersecurity, which is non-partisan technical governance with no clear ideological signaling that would reliably indicate party affiliation.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""The tweet discusses committee work on energy sector cybersecurity, which is non-partisan technical governance with no clear ideological signaling that would reliably indicate party affiliation.""
}",False,zero-shot
2021-04-13 00:54:17,HawleyMO,"Monopoly and liberty dont go together. No corporation should be so big and so powerful that it can override the voice of the people. We need a new trust busting agenda, from MLB to #BigTech",Republican,0,2021,biden-era,True,Democrat,Populist,85,"Anti-monopoly rhetoric and populist language about corporations overriding the people's voice aligns with progressive Democratic populism, particularly echoing Bernie Sanders' style.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Populist"",
  ""confidence"": 85,
  ""reasoning"": ""Anti-monopoly rhetoric and populist language about corporations overriding the people's voice aligns with progressive Democratic populism, particularly echoing Bernie Sanders' style.""
}",False,zero-shot
2023-01-04 17:00:30,DonaldNorcross,"I’m proud that my bill, the BRAVE Act, was included in the FY23 omnibus to support those men and women who defend o…",Democrat,1,2023,biden-era,False,Republican,Establishment,45,"Support for military funding through omnibus legislation is bipartisan, but the formal legislative approach and emphasis on defense spending align slightly with traditional Republican priorities, though insufficient context limits confidence.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""Support for military funding through omnibus legislation is bipartisan, but the formal legislative approach and emphasis on defense spending align slightly with traditional Republican priorities, though insufficient context limits confidence.""
}",False,zero-shot
2023-02-11 17:11:39,RepTenney,My weekly newsletter is out! Click the link to read more about my work in Washington and across #NY24.,Republican,0,2023,biden-era,False,Democrat,Establishment,25,"The tweet is too generic and non-political to classify with confidence; it only mentions a newsletter about work in Washington and New York, with no ideological content.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""The tweet is too generic and non-political to classify with confidence; it only mentions a newsletter about work in Washington and New York, with no ideological content.""
}",False,zero-shot
2021-11-12 17:24:14,maziehirono,"A true patriot,  is the definition of perseverance and strength. It is an honor to call her my colleague in the Senate, and more importantly, my dear friend.",Democrat,1,2021,biden-era,False,Unknown,Establishment,25,"The tweet expresses collegial respect and friendship without partisan content, policy positions, or identifying characteristics that would indicate party affiliation.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""The tweet expresses collegial respect and friendship without partisan content, policy positions, or identifying characteristics that would indicate party affiliation.""
}",False,zero-shot
2022-09-27 16:20:07,rosadelauro,"We must protect our supply chains and national security from foreign adversaries like China and Russia.

Today, I j…",Democrat,1,2022,biden-era,False,Republican,Establishment,72,"The focus on supply chain security and naming China/Russia as adversaries reflects typical Republican foreign policy rhetoric, while the measured tone suggests establishment rather than populist orientation.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The focus on supply chain security and naming China/Russia as adversaries reflects typical Republican foreign policy rhetoric, while the measured tone suggests establishment rather than populist orientation.""
}",False,zero-shot
2021-06-29 20:37:30,SenatorHassan,"Did you know that my office can help you navigate issues with federal agencies? From veterans services to social security benefits, we are here to help. Check out our new series on constituent success stories to see examples of how we can help you!",Democrat,1,2021,biden-era,False,Unknown,Establishment,25,"This is a generic constituent services announcement with no partisan messaging, policy positions, or ideological cues that would indicate party affiliation.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""This is a generic constituent services announcement with no partisan messaging, policy positions, or ideological cues that would indicate party affiliation.""
}",False,zero-shot
2021-02-02 02:17:06,SenatorCollins,"Talks between our group and  the administration will continue as we work in good faith on a sixth bipartisan package to help struggling families, get students back to school, assist small businesses and employees, support healthcare providers, and  accelerate testing and  vaccine programs",Republican,0,2021,biden-era,True,Democrat,Establishment,72,"The emphasis on bipartisan cooperation, government assistance programs, and healthcare support aligns with establishment Democratic priorities, though the bipartisan framing suggests a moderate/centrist approach.","{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""The emphasis on bipartisan cooperation, government assistance programs, and healthcare support aligns with establishment Democratic priorities, though the bipartisan framing suggests a moderate/centrist approach.""
}",False,zero-shot
2022-08-03 20:35:29,RepMrvan,I am deeply saddened to learn of the sudden passing of my Indiana colleague and Congressional-district neighbor Rep. Jackie Walorski.,Democrat,1,2022,biden-era,False,Republican,Establishment,45,"The tweet is a respectful condolence about a Republican colleague from Indiana, but lacks partisan content making classification uncertain.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet is a respectful condolence about a Republican colleague from Indiana, but lacks partisan content making classification uncertain.""
}",False,zero-shot
2022-09-20 14:27:35,RepSpartz,Thousands of Ukrainians who heroically defended Mariupol at Azovstal are being held as POWs by the Russians with no…,Republican,0,2022,biden-era,False,Democrat,Establishment,72,Support for Ukraine and concern about Russian POW treatment aligns with typical Democratic foreign policy priorities and establishment internationalism.,"{
  ""leaning"": ""Democrat"",
  ""stance"": ""Establishment"",
  ""confidence"": 72,
  ""reasoning"": ""Support for Ukraine and concern about Russian POW treatment aligns with typical Democratic foreign policy priorities and establishment internationalism.""
}",False,zero-shot
2021-09-11 19:33:28,SenTinaSmith,"I was also moved by Gold Star Mother Jill Stephenson, whose son Corporal Benjamin Koppan Army Rangermade the ultimate sacrifice while saving six of his fellow soldiers in Afghanistan.",Democrat,1,2021,biden-era,False,Republican,Establishment,25,"The tweet honors military sacrifice and a Gold Star family, themes common across both parties, but lacks partisan content making classification unreliable.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""The tweet honors military sacrifice and a Gold Star family, themes common across both parties, but lacks partisan content making classification unreliable.""
}",False,zero-shot
2021-10-28 22:58:28,Sen_JoeManchin,As we work through the text of the legislation I would hope all of us will continue to deal in good faith and do what is right for the future of the American people.,Democrat,1,2021,biden-era,True,Republican,Establishment,35,"The tweet's emphasis on good faith negotiation and legislative process suggests an establishment-oriented politician, but the generic bipartisan language and lack of partisan positioning makes confident classification difficult.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 35,
  ""reasoning"": ""The tweet's emphasis on good faith negotiation and legislative process suggests an establishment-oriented politician, but the generic bipartisan language and lack of partisan positioning makes confident classification difficult.""
}",False,zero-shot
2022-12-08 23:17:57,RepBonamici,"Astoria is known for its riverfront businesses built atop piers on wooden pilings. On this day in 1922, those woode…",Democrat,1,2022,biden-era,False,Unknown,Unknown,5,"This tweet appears to be a historical fact about Astoria with no political content, party affiliation, or ideological stance discernible.","{
  ""leaning"": ""Unknown"",
  ""stance"": ""Unknown"",
  ""confidence"": 5,
  ""reasoning"": ""This tweet appears to be a historical fact about Astoria with no political content, party affiliation, or ideological stance discernible.""
}",False,zero-shot
2022-12-08 04:20:12,RepThompson,Congratulations to the City of Rohnert Park on their annual tree lighting celebration!,Democrat,1,2022,biden-era,False,Republican,Establishment,25,"This is a non-partisan ceremonial tweet about a local community event with no political content, making classification highly uncertain.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 25,
  ""reasoning"": ""This is a non-partisan ceremonial tweet about a local community event with no political content, making classification highly uncertain.""
}",False,zero-shot
2021-04-07 19:51:03,SenatorWarnock,Last week I met with farmers and  producers across six Georgia counties to learnwhat morethe federalgovernment can do to help themnavigate thesupply chainchallengesbrought on by COVID-19.Im committedto continuing toamplifytheir voices and  stories in Congress.,Democrat,1,2021,biden-era,False,Republican,Establishment,45,"The tweet shows constituent engagement and support for agricultural interests, which is characteristic of Georgia senators, but lacks ideological markers to distinguish partisan leaning with high confidence.","{
  ""leaning"": ""Republican"",
  ""stance"": ""Establishment"",
  ""confidence"": 45,
  ""reasoning"": ""The tweet shows constituent engagement and support for agricultural interests, which is characteristic of Georgia senators, but lacks ideological markers to distinguish partisan leaning with high confidence.""
}",False,zero-shot
